strain	virus	genbank_accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
DENV1/VIETNAM/BIDV1862/2008	dengue	FJ410220	2008-XX-XX	Southeast Asia	Vietnam	Vietnam	Vietnam	?	genome	Alvarado et al.	?	?	?	?
DENV3/WALLIS_AND_FUTUNA/1404838/1989	dengue	JQ920487	1989-08-14	?	Wallis And Futuna	French Overseas Collectivity	Wallis And Futuna	?	genome	Aubry et al.	?	?	?	?
DENV/BRAZIL/SJRP778/2013	dengue	KT438585	2013-02-04	South America	Brazil	Brazil	Brazil	?	genome	Araujo et al.	?	?	?	?
DENV3/VENEZUELA/L6700/2001	dengue	HM348817	2001-XX-XX	South America	Venezuela	Venezuela	Venezuela	?	genome	Alarcon et al.	?	?	?	?
DENV1/VENEZUELA/BIDV2254/2005	dengue	FJ639814	2005-XX-XX	South America	Venezuela	Aragua	Aragua	?	genome	Alvarado et al.	?	?	?	?
DENV3/NICARAGUA/BIDV4829/2009	dengue	HQ891025	2009-XX-XX	North America	Nicaragua	Managua	Managua	?	genome	Alvarado et al.	?	?	?	?
DENV3/VIETNAM/BIDV1783/2007	dengue	FJ432728	2007-XX-XX	Southeast Asia	Vietnam	Vietnam	Vietnam	?	genome	Alvarado et al.	?	?	?	?
DENV1/MYANMAR/438266601/NA	dengue	DQ264965	?	Southeast Asia	Myanmar	Myanmar	Myanmar	?	genome	Aaskov et al.	?	?	?	?
DENV4/VENEZUELA/BIDV1156/2007	dengue	GQ868645	2007-XX-XX	South America	Venezuela	Aragua	Aragua	?	genome	Alvarado et al.	?	?	?	?
DENV1/MEXICO/18/2007	dengue	HM171565	2007-XX-XX	Europe	Spain	Castile And Leon	Leon	?	genome	Alpuche et al.	?	?	?	?
DENV1/NEW_CALEDONIA/170256/2012	dengue	KC316020	2012-02-17	Oceania	New Caledonia	New Caledonia	New Caledonia	?	genome	Aaskov et al.	?	?	?	?
DENV/PERU/FPU0574R/2012	dengue	KC847995	2012-XX-XX	South America	Peru	Ucayali	Ucayali	?	genome	Cruz et al.	?	?	?	?
DENV1/CHINA/FJ216/2014	dengue	KU570108	2014-XX-XX	China	China	China	China	?	genome	Chen et al.	?	?	?	?
