strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
DENV2/INDONESIA/MKS0084/2007	dengue	KC762660	2007-11-21	Southeast Asia	Indonesia	Makassar	Makassar	?	genome	Bifani et al.	?	?	?	?
DENV2/TAIWAN/71/2002	dengue	EF016253	2002-XX-XX	China	Taiwan	Taiwan	Taiwan	?	genome	Ke et al.	?	?	?	?
DENV2/PAKISTAN/8D/2011	dengue	JX042512	2011-XX-XX	West Asia	Pakistan	Pakistan	Pakistan	?	genome	Alvi et al.	?	?	?	?
DENV2/PUERTO_RICO/BIDV851/1990	dengue	EU482590	1990-XX-XX	North America	Puerto Rico	Puerto Rico	Puerto Rico	?	genome	Alvarado et al.	?	?	?	?
DENV2/INDONESIA/MKS3007/2008	dengue	KC762666	2008-02-15	Southeast Asia	Indonesia	Makassar	Makassar	?	genome	Bifani et al.	?	?	?	?
DENV2/SINGAPORE/46701/2010	dengue	JN030256	2010-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	?	genome	Chua et al.	?	?	?	?
DENV2/NICARAGUA/BIDV563/2006	dengue	EU482444	2006-XX-XX	North America	Nicaragua	Managua	Managua	?	genome	Alvarado et al.	?	?	?	?
DENV2/INDONESIA/MKS0502/2007	dengue	KC762656	2007-12-11	Southeast Asia	Indonesia	Makassar	Makassar	?	genome	Bifani et al.	?	?	?	?
DENV2/NA/NIID0/2016	dengue	LC121816	2016-01-XX	?	?	?	?	?	genome	Tajima et al.	?	?	?	?
DENV2/NICARAGUA/BIDV1201/2007	dengue	EU660405	2007-XX-XX	North America	Nicaragua	Managua	Managua	?	genome	Alvarado et al.	?	?	?	?
DENV2/PERU/FPI01695/2011	dengue	KC294211	2011-04-04	South America	Peru	Loreto	Iquitos	?	genome	Chen et al.	?	?	?	?
DENV2/NA/R051358/NA	dengue	AB587938	?	?	?	?	?	?	genome	Anantapreecha et al.	?	?	?	?
DENV2/NICARAGUA/BIDV548/2005	dengue	EU482760	2005-XX-XX	North America	Nicaragua	Managua	Managua	?	genome	Alvarado et al.	?	?	?	?
DENV2/INDIA/NIV427/1964	dengue	FJ538908	1964-XX-XX	South Asia	India	India	India	?	genome	Barde et al.	?	?	?	?
DENV2/THAILAND/DB061/2006	dengue	JF812111	2006-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	?	genome	Colon et al.	?	?	?	?
DENV2/NA/L041537/NA	dengue	AB587897	?	?	?	?	?	?	genome	Anantapreecha et al.	?	?	?	?
DENV2/THAILAND/P0408/NA	dengue	LC129169	?	Southeast Asia	Thailand	Thailand	Thailand	?	genome	Dhole et al.	?	?	?	?
DENV2/MALAYSIA/22563/2000	dengue	FN429892	2000-XX-XX	Southeast Asia	Malaysia	Malaysia	Kuala Lumpur	?	genome	Aw et al.	?	?	?	?
DENV2/NICARAGUA/BIDV2364/2000	dengue	FJ744744	2000-XX-XX	North America	Nicaragua	Managua	Managua	?	genome	Alvarado et al.	?	?	?	?
DENV2/NICARAGUA/BIDV2657/2000	dengue	FJ850117	2000-XX-XX	North America	Nicaragua	Managua	Managua	?	genome	Alvarado et al.	?	?	?	?
DENV2/VIETNAM/134DL/2012	dengue	KP706455	2012-XX-XX	Southeast Asia	Vietnam	Vietnam	Vietnam	?	genome	Le et al.	?	?	?	?
DENV2/SINGAPORE/NA/NA	dengue	AY359463	?	Southeast Asia	Singapore	Singapore	Singapore	?	genome	Chow et al.	?	?	?	?
DENV2/PUERTO_RICO/BIDV1033/1998	dengue	EU482546	1998-XX-XX	North America	Puerto Rico	Puerto Rico	Puerto Rico	?	genome	Alvarado et al.	?	?	?	?
DENV2/NA/BIDV2621/2008	dengue	GQ199901	2008-XX-XX	?	?	?	?	?	genome	Alpuche et al.	?	?	?	?
