strain	virus	genbank_accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
DENV4/SPAIN/BIDV3407/2001	dengue	GQ868580	2001-XX-XX	Europe	Spain	Cantabria	Santander	?	genome	Alvarado et al.	?	?	?	?
DENV4/PUERTO_RICO/BIDV2442/1998	dengue	FJ882596	1998-XX-XX	North America	Puerto Rico	Puerto Rico	Puerto Rico	?	genome	Alvarado et al.	?	?	?	?
DENV4/VIETNAM/BT3976/2011	dengue	JX556926	2011-XX-XX	Southeast Asia	Vietnam	Mekong Delta	Mekong Delta	?	genome	Bui et al.	?	?	?	?
DENV4/NEW_CALEDONIA/200409/2008	dengue	JQ915085	2008-02-20	Oceania	New Caledonia	New Caledonia	Noumea	?	genome	Aubry et al.	?	?	?	?
DENV4/BRAZIL/GUSP0551/2013	dengue	KP703998	2013-03-14	South America	Brazil	Brazil	Brazil	?	genome	Balarini et al.	?	?	?	?
DENV4/PUERTO_RICO/11987/NA	dengue	AY152228	?	North America	Puerto Rico	Puerto Rico	Puerto Rico	?	genome	Beltran et al.	?	?	?	?
DENV4/CHINA/GD0166GUANDONG/2010	dengue	KJ545440	2010-XX-XX	China	China	China	China	?	genome	Ke et al.	?	?	?	?
DENV4/BRAZIL/GUSP0792/2013	dengue	KP704090	2013-03-21	South America	Brazil	Brazil	Brazil	?	genome	Balarini et al.	?	?	?	?
DENV4/BRAZIL/GUSP1224/2013	dengue	KP704216	2013-05-27	South America	Brazil	Brazil	Brazil	?	genome	Balarini et al.	?	?	?	?
DENV4/VENEZUELA/BIDV1158/2007	dengue	FJ182016	2007-XX-XX	South America	Venezuela	Aragua	Aragua	?	genome	Alvarado et al.	?	?	?	?
DENV4/BRAZIL/GUSP0766/2013	dengue	KP704082	2013-03-21	South America	Brazil	Brazil	Brazil	?	genome	Balarini et al.	?	?	?	?
DENV4/NA/P71006/NA	dengue	AF231722	?	?	?	?	?	?	genome	Barrett et al.	?	?	?	?
